"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"5","genus","Bupleurum",0.0178165988432852,0.03804307149488,52.5,14.5,67,24.160723,366.945112,6,0.0282756930157318,0.686566248965038,3.22026211003739,1.36949644956872,17.7885305233968,17.7885305233968,0,0,0,2.79328198405106,2.04628411477579,0.384904393085806,0
"52","random_67_taxa","Bupleurum_RandomTwin",0.0197442057595784,0.047203887762237,47,20,67,104.999999,2068.8670145,14.5,0.0334669195273567,0.708344849386137,0.148565138723285,0.612413122933804,5.23942899194332,5.23942899194332,0,2.87396003825621,144.957832444909,3.16649122321011,0.380160705967539,0.0820524276341405,0
"6","genus","Campanula",0.0184440742221998,0.0484316718030653,166.5,53.5,220,42.551648,1827.231695,27,0.0334911408128635,0.711702638201053,0.00688579280450078,0.0314555582498905,29.5509472749772,29.5509472749772,0,0,0,6.15296594326589,0.0174586192605215,0.146908977489623,0
"53","random_220_taxa","Campanula_RandomTwin",0.0185242919249648,0.0459242423818192,156,64,220,105.000001,4744.6288325,42.5,0.0324521923986529,0.706281029864316,0.0124121556568705,0.0482963233518577,12.3816865416696,12.3816865416696,0,1.12182034803591,208.042534958119,6.25311235637216,0.0300744508268324,0.0457007622554328,0
"39","family","Campanulaceae",0.0187541561542754,0.0449054531787501,513.5,220.5,734,72.733325,6141.428401,87,0.0318002179373089,0.706376819171256,0.00302107127754102,0.00800134818904774,54.6208926985995,54.6208926985995,0,0,0,10.3001225843446,0.00481145098211323,0.0373221390700962,0
"86","random_734_taxa","Campanulaceae_RandomTwin",0.0185169799341682,0.0443408806511857,525,209,734,105.000001,10539.8669575,117.5,0.0313289179908087,0.704751562765116,0.00208908483797911,0.00741557991837199,41.0002352789504,41.0002352789504,0,4.96858818728659e-07,260.716540851194,10.9751970139469,0.00420489578218446,0.032921444235764,0
"40","family","Caprifoliaceae",0.0188519203187882,0.046234854198197,267,107,374,62.734189,3026.464372,43.5,0.0326170544054118,0.71290640940513,0.00472723604382666,0.0136491624891844,34.8525378407282,34.8525378407282,0,0,0,8.71550342780037,0.00770927151336609,0.0638746703323293,0
"87","random_374_taxa","Caprifoliaceae_RandomTwin",0.0195638080491587,0.0438033489825507,268,106,374,105,6754.135858,66.5,0.0315300745491502,0.700921462669097,0.00389592821390383,0.0106724127940431,21.2958453765759,21.2958453765759,0,5.21361852972249e-07,202.980745030243,8.01424867459089,0.00662991798345705,0.0397518807747047,0
"7","genus","Centaurea",0.0240269155510657,0.0584350707455616,173.5,10.5,184,89.88259,403.838039,6,0.0530193712374505,0.684429310745112,0.100693490446445,0.9515586706934,70.1106564041027,70.1106564041027,0,0,0,3.53446236964326,0.485626215679002,0.292921969044536,0
"54","random_184_taxa","Centaurea_RandomTwin",0.019252596303311,0.0482860403385036,131,53,184,105,4241.983234,37,0.0336709802514071,0.711526373518134,0.00699671737754127,0.0182219818053434,11.1696332558731,11.1696332558731,0,1.60804348748186,179.341452447973,5.42213942642533,0.0119780716242756,0.0464913113763686,0
"8","genus","Cirsium",0.0228679725851808,0.0472345222400432,64,3,67,7.959515,120.43326,2,0.0374639287640409,0.824791296556434,0.717360096383272,2.96925145883198,23.9921788603004,23.9921788603004,0,0,0,1.87584324472699,1.54398491639962,0.417883819345778,11
"55","random_67_taxa","Cirsium_RandomTwin",0.0221720589398169,0.0507588304528615,46.5,20.5,67,104.999999,2090.494979,15,0.0364430131425069,0.689028772997433,0.323061804761385,0.732349698360629,4.3446821087696,4.3446821087696,0,2.90899900911806,143.283632652089,2.71655976737067,0.526548410932835,0.0674964000659849,0
"9","genus","Crepis",0.0196934610774129,0.0433657524466021,53,14,67,23.561982,392.302428,7.5,0.0304376546419182,0.64787383387181,0.05491446318448,0.161692316618999,16.4759512531741,16.4759512531741,0,0,0,3.48182873116001,0.088298381950434,0.391127029345696,0
"56","random_67_taxa","Crepis_RandomTwin",0.0187514906451613,0.0455876030161066,47,20,67,105,2081.23859,14.5,0.0319449369991235,0.687669293730586,0.92683393865197,1.32980976331117,5.20124305266821,5.20124305266821,0,3.01056211405934,146.240470048679,3.03574662575083,1.12277014637003,0.125495141275122,0
"47","order","Dipsacales",0.0193545198907393,0.0458759497365333,369.5,141.5,511,87.373349,3729.345281,53,0.0323087488204393,0.706582661384874,0.00410631701770501,0.00998197028443564,40.9555511709606,40.9555511709606,0,0,0,8.75859750776517,0.00580510657229699,0.0525866585132412,0
"94","random_511_taxa","Dipsacales_RandomTwin",0.0181715726725776,0.0441407440511259,361.5,149.5,511,105.000001,8315.388678,87,0.0307143532692921,0.710061033772175,0.00378380951804485,0.00906484116160383,28.4054536661501,28.4054536661501,0,5.93227773039044e-07,250.244335301095,10.3600778047856,0.00588517669222588,0.0359260447070918,0
